,host_count,avg_token_length,token_count,largest_token,url_length,ip_address,dots_count,critical_words,host_rank,host_country
190,2,7.33,3,16,40,0,2,0,-1,-1
191,32,4.0,3,6,30,0,2,0,-1,-1
192,197,6.33,3,11,67,0,2,0,326,217
193,53,4.67,3,8,27,0,2,0,-1,-1
194,83,6.0,2,9,23,0,1,0,6109,1342
195,197,6.33,3,11,67,0,2,0,326,217
196,2,7.33,3,16,47,0,3,0,-1,-1
197,1,6.33,3,13,84,0,4,0,-1,-1
198,14,9.0,3,21,62,0,3,0,-1,-1
199,5,8.0,3,18,34,0,2,0,-1,-1
200,32,6.33,3,13,28,0,2,0,-1,-1
201,32,6.33,3,13,28,0,2,0,-1,-1
202,3,4.33,3,7,45,0,3,0,-1,-1
203,44,3.5,2,4,37,0,1,0,-1,-1
204,32,6.33,3,13,28,0,2,0,-1,-1
205,32,6.33,3,13,28,0,2,0,-1,-1
206,3,6.67,3,12,29,0,2,0,458857,101155
207,53,4.67,3,8,27,0,2,0,-1,-1
208,83,6.0,2,9,23,0,1,0,6109,1342
209,197,6.33,3,11,67,0,2,0,326,217
210,8,8.0,3,18,51,0,2,0,-1,-1
211,8,8.0,3,18,52,0,2,0,-1,-1
212,3,6.33,3,8,53,0,3,0,130458,27671
213,7,6.0,3,8,28,0,2,0,130458,27671
214,1,1.5,4,2,47,1,4,0,-1,-1
215,2,2.0,4,3,67,1,4,0,-1,-1
216,1,2.25,4,3,34,1,4,0,-1,-1
217,1,6.33,3,13,47,0,3,0,-1,-1
218,53,4.67,3,8,27,0,2,0,-1,-1
219,83,6.0,2,9,23,0,1,0,6109,1342
220,197,6.33,3,11,67,0,2,0,326,217
221,2,6.33,3,11,34,0,2,0,-1,-1
222,2,7.0,3,13,36,0,2,0,101213,31024
223,2,7.0,3,13,36,0,2,0,-1,-1
224,18,2.75,4,3,43,1,3,0,-1,-1
225,18,2.75,4,3,27,1,3,0,-1,-1
226,18,2.75,4,3,43,1,3,0,-1,-1
227,18,2.75,4,3,43,1,3,0,-1,-1
228,32,4.0,3,6,30,0,2,0,-1,-1
229,197,6.33,3,11,67,0,2,0,326,217
230,1,5.0,3,7,44,0,3,0,-1,-1
231,3,6.0,3,12,33,0,2,0,-1,-1
232,83,6.0,2,9,23,0,1,0,6109,1342
233,197,6.33,3,11,67,0,2,0,326,217
234,1,3.67,3,5,36,0,3,0,-1,-1
235,2,4.0,3,6,57,0,3,0,72,29
236,27,5.67,3,11,145,0,4,0,-1,-1
237,27,5.67,3,11,62,0,3,0,-1,-1
238,27,5.67,3,11,49,0,3,0,-1,-1
239,27,5.67,3,11,49,0,3,0,-1,-1
240,27,5.67,3,11,49,0,3,0,-1,-1
241,27,5.67,3,11,49,0,3,0,-1,-1
242,27,5.67,3,11,49,0,3,0,-1,-1
243,27,5.67,3,11,49,0,3,0,-1,-1
244,27,5.67,3,11,49,0,3,0,-1,-1
245,2,5.33,3,7,25,0,2,0,-1,-1
246,28,5.67,3,11,33,0,2,0,-1,-1
247,197,6.33,3,11,62,0,2,0,326,217
248,83,6.0,2,9,23,0,1,0,6109,1342
249,197,6.33,3,11,67,0,2,0,326,217
250,2,4.5,4,11,28,0,2,0,-1,-1
251,3,6.0,3,12,33,0,2,0,-1,-1
252,2,5.0,3,9,25,0,2,0,-1,-1
253,4,4.33,3,7,65,0,4,0,-1,-1
254,4,4.33,3,7,65,0,4,0,-1,-1
255,1,5.33,3,10,25,0,2,0,-1,-1
256,53,4.67,3,8,27,0,2,0,-1,-1
257,32,4.0,3,6,30,0,2,0,-1,-1
258,197,6.33,3,11,67,0,2,0,326,217
259,47,3.33,3,5,41,0,2,0,-1,-1
260,1,4.5,4,9,66,0,3,0,-1,-1
261,1,4.5,4,9,66,0,3,0,-1,-1
262,53,4.67,3,8,27,0,2,0,-1,-1
263,83,6.0,2,9,23,0,1,0,6109,1342
264,197,6.33,3,11,67,0,2,0,326,217
265,8,7.0,2,11,23,0,1,0,-1,-1
266,83,6.0,2,9,23,0,1,0,6109,1342
267,197,6.33,3,11,61,0,2,0,326,217
268,2,7.5,2,12,23,0,1,0,-1,-1
269,15,5.67,3,11,33,0,2,0,-1,-1
270,15,5.67,3,11,33,0,2,0,-1,-1
271,2,2.25,4,3,30,1,3,1,-1,-1
272,2,2.25,4,3,38,1,4,0,-1,-1
273,53,4.67,3,8,27,0,2,0,-1,-1
274,32,4.0,3,6,30,0,2,0,-1,-1
275,197,6.33,3,11,67,0,2,0,326,217
276,83,6.0,2,9,23,0,1,0,6109,1342
277,197,6.33,3,11,67,0,2,0,326,217
278,32,6.33,3,13,28,0,2,0,-1,-1
279,32,6.33,3,13,28,0,2,0,-1,-1
280,3,6.33,3,8,53,0,3,0,130458,27671
281,7,6.0,3,8,28,0,2,0,130458,27671
282,10,6.0,2,9,21,0,1,0,-1,-1
283,3,3.33,3,4,30,0,2,1,1658,1148
284,47,3.33,3,5,41,0,2,0,-1,-1
285,3,4.33,3,7,42,0,3,0,-1,-1
286,1,5.33,3,10,44,0,3,0,-1,-1
287,83,6.0,2,9,23,0,1,0,6109,1342
288,197,6.33,3,11,57,0,2,0,326,217
289,10,5.0,3,6,51,0,3,0,726140,116570
290,10,5.0,3,6,95,0,5,0,726140,116570
291,2,6.33,3,13,28,0,2,0,-1,-1
292,1,6.0,3,12,27,0,2,0,-1,-1
293,32,6.33,3,13,28,0,2,0,-1,-1
294,32,6.33,3,13,28,0,2,0,-1,-1
295,2,4.0,4,5,26,0,2,0,-1,-1
296,47,3.33,3,5,43,0,2,0,-1,-1
297,6,2.75,4,3,27,1,3,0,-1,-1
298,6,2.75,4,3,33,1,4,0,-1,-1
299,3,6.33,3,13,36,0,2,0,-1,-1
300,3,6.33,3,14,43,0,3,0,-1,-1
301,2,5.67,3,11,26,0,2,0,-1,-1
302,4,5.67,3,11,26,0,2,0,-1,-1
303,4,5.67,3,11,90,0,5,0,-1,-1
304,28,5.67,3,11,33,0,2,0,-1,-1
305,28,5.67,3,11,33,0,2,0,-1,-1
306,53,4.67,3,8,27,0,2,0,-1,-1
307,83,6.0,2,9,23,0,1,0,6109,1342
308,197,6.33,3,11,67,0,2,0,326,217
309,1,7.5,4,11,40,0,3,0,149242,6981
310,53,4.67,3,8,27,0,2,0,-1,-1
311,83,6.0,2,9,23,0,1,0,6109,1342
312,197,6.33,3,11,67,0,2,0,326,217
